Description,Level 1 Description,Asset Class 2 Description,Asset Class 3 Description,MaintPlant,Equipment,Description.1,New Funct. Location,New Super Funct. Loc,ManufSerialNo.,Manufacturer,Model number,ManufPartNo.,Sort Field,Main WorkCtr,Work center,Planner Group,HSECES Category,ABC Indic.,Plant Section,Object Type,EquipCategory,Superord.Equip.,Catalog Profile,TechIdentNo.,Size/dimens.,ManufCountry
ITR-12 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001982,Fire and gas detection,1-01-86-XTGD-ITR12-02,60-86-FF58-ITR12-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011000063.0,PM_GDET,1-01-86-XTGD-ITR12-02,D96XW155XH280 MM,
F&G BEACON AND SOUNDER ETR-6,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001984,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007936.0,PM_FDET,FG-ETR-6-BEACON,,
F&G HEAT DETECTOR ETR-7,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001985,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011009512.0,PM_FDET,FG-ETR-7-HD,,
F&G SMOKE DETECTOR ETR-8,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001986,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007942.0,PM_FDET,FG-ETR-8-SD,,
F&G BEACON AND SOUNDER HB09,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001988,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007952.0,PM_FDET,FG-HB09-BEACON,,
F&G BEACON AND SOUNDER HB11,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001989,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007956.0,PM_FDET,FG-HB11-BEACON,,
F&G BEACON AND SOUNDER HB19,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001991,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007964.0,PM_FDET,FG-HB19-BEACON,,
F&G-HEAT DETECTOR HB22,O&GP - Plants,Control Systems,System in General for Control System,2402,11011001992,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011009521.0,PM_FDET,FG-HB22-HD,,
F&G BEACON AND SOUNDER WG-5 TR AREA,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002006,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008024.0,PM_FDET,FG-TR05-BEACON,,
FRM P-2101 TO HDR 12-IW-0049-151422-Y,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002014,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008054.0,PM_PIPE,IW-CS-PC-086,,
FRM 2-IZ-0058-153411-X-N TO EXPORT P/L,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002015,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008059.0,PM_PIPE,IZ-SSA-PC-119,,
FRM STRNR SP0303 TO 2-AW-0183-011422-Y-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002016,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011007889.0,PM_PIPE,D-CS-PC-062,,
FRM DRAIN FRM MPP SKID TO CD HEADER,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002017,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-055,,
FRM 2D0182066620X1P TO 4D0182017015X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002018,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-068,,
FRM 4DF0001011412YN TO 4DF0001011412YN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002019,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008074.0,PM_PIPE,DF-CS-PC-096,,
F&G HEAT DETECTOR ETR-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002024,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011009565.0,PM_FDET,FG-ETR-2-HD,,
FROM INJECTION PUMP TO INJECTION LINE,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002026,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,PNG,PI,M,11011004094.0,PM_PIPE,Z-SSA-PC-137,,
F&G GAS DETECTOR HB31,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002027,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008105.0,PM_FDET,FG-HB31-GD,,
F&G GAS DETECTOR ITR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002031,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008121.0,PM_FDET,FG-ITR-1-GD,,
F&G GAS DETECTOR ITR-14,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002032,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008125.0,PM_FDET,FG-ITR-14-GD,,
F&G GAS DETECTOR ITR-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002033,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008129.0,PM_FDET,FG-ITR-3-GD,,
F&G BEACON AND SOUNDER ITR-9,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002036,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008142.0,PM_FDET,FG-ITR-9-BEACON,,
FROM SP-0086 TO 2-NN-0046-061441-Y1-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002038,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-115,,
FRM OILWELL HB10 TO 6-PO-0241-096620-X-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002040,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-005,,
FRM SDV-0101-09 TO 12-PO-0195-091441-Y-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002041,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-024,,
FROM PURGE CONN TO 6-PO-0005-156620-X-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002043,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-015,,
FROM ATP-01B TO 42-PO-7233-066620-X,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002044,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-035,,
FRM 2PO0197061441Y1N TO 6VG0001011503X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011002045,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008181.0,PM_PIPE,VG-CS-PC-131,,
CGF AREA BEACON AND SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002094,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004189.0,PM_FDET,1-01-00-5400-01-BEACON,,
F&G SYSTEM CGF LCR BLDG GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002097,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011000524.0,PM_FDET,1-01-00-5802-01-GD,,
EDG SYSTEM F&G FIRE ALARM BEACON-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002161,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,E2S,STEXB2-X10,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_EVEQ,1-01-00-FAB-GD-4201-01,,GB
EDG SYSTEM FIRE & GAS FLAME DETECTORS-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002164,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,AUTRONICA,116-5861-011.4410,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-FD-GD-4201-01,,NO
EDG SYSTEM FIRE & GAS GAS ALARM BEACON-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002221,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,E2S,STEXB2-X10,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_EVEQ,1-01-00-GB-GD-4201-01,,GB
EDG SYSTEM FIRE & GAS HEAT DETECTORS-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002225,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,MEDC,HD1,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-HD-GD-4201-03,,GB
PIG LAUNCHER 12IN DRAIN BALL VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002356,Oil Export,1-01-00-LP-1301,A-AP-6000-OF13-01,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002357.0,PM_VLV,1-01-00-LP-1301-MIV-10,,IN
PIG LAUNCHER MANUAL VALVES,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002357,Oil Export,1-01-00-LP-1301,A-AP-6000-OF13-01,,,,,,C-MEC-01,,100,NHSECES,C,PIG,OH,M,11011004709.0,PM_MMC,1-01-00-LP-1301-MV,,
PIG LAUNCHER MOTOR OPERATED VALVE-2,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002386,Oil Export,1-01-00-MOV-1301-02,1-01-00-LP-1301-VECM,19C701602,L&T VALVES,IQ19F14B4/TMBVSS-16I,HMDI/75000-47197/NG,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011004709.0,PM_VLV,1-01-00-MOV-1301-02,16IN,IN
CDB PMP DISCH SDV TO PROD EXPORT P/L I/L,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002479,Closed Drains,1-01-00-SDV-6700-01,A-AP-6000-UF67-VECM,,VIRGO,NG2-RF9-R-MZN-P-L-A,4506150907,,C-INS-01,,100,SD01,A,CDS,VA,M,11011004853.0,PM_MIC,1-01-00-SDV-6700-01,4IN CL 900 RF,IN
LCR PA/GA SYSTEM B CABINET,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002579,Telecommunications,1-01-00-TLC-8800-02,60-00-TF88-CGF-CKT-B,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,ER03,D,BUD,TE,M,11011004692.0,PM_TCOM,1-01-00-TLC-8800-02,D1000XW800XH2000,DE
MPP-1 8IN BALL VALVE TO PIG LAUNCHER,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002601,Oil Export,A-AP-0101-S004,A-AP-0101,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011000325.0,PM_VLV,1-01-00-U-0901-MIV-004,8IN,IN
MPP-1 8IN BV BY PASS LINE FOR EARLY OIL,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002602,Oil Export,A-AP-0101-S004,A-AP-0101,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011000325.0,PM_VLV,1-01-00-U-0901-MIV-008,8IN,IN
PIG LAUNCHER THERMAL RELIFE VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002665,Oil Export,1-01-00-TSV-1301-01,A-AP-6000-OF13-01,B404705-10-1A14,BLISS ANAND PVT LTD,26DA14L-121/N1/SP,,,C-MEC-01,,100,PC07,C,PIG,VA,M,11011004709.0,PM_VLV,1-01-00-TSV-1301-01,,IN
MPP-1 12IN BALL VALVE FRM PRODUCTION HDR,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002686,Oil Export,A-AP-0101-S004,A-AP-0101,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011000325.0,PM_VLV,1-01-00-U-0901-MIV-001,12IN,IN
CGF MPFM AREA TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002692,Fire and gas detection,1-01-00-XFD-5400-24,60-00-FF54-PLNT2-FGS,1928576,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008223.0,PM_FDET,1-01-00-XFD-5400-24,D138XH109XB89 MM,
CGF AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002705,Fire and gas detection,1-01-00-XGAB-5400-03,60-00-FF54-PLNT2-FGS,214287525-41-03,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011002094.0,PM_EVEQ,1-01-00-XGAB-5400-03,L150XW170XH239 MM,GB
CGF SUB-STATION SWGR RM AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002706,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004192.0,PM_EVEQ,1-01-00-XGAB-5801-53,,
CGF CTRL BLDG AUXILIARY RM AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002707,Fire and gas detection,1-01-00-XGAB-5802-02,60-00-FF58-LCR-FACP,,MEDC,XB15B0241506AWDTDPRZ,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_EVEQ,1-01-00-XGAB-5802-02,L150XW150XH239 MM,GB
CGF CDS AREA RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002765,Fire and gas detection,1-01-00-XFAB-5400-02,60-00-FF54-UTLTY-FGS,214287525-31-01,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011002094.0,PM_EVEQ,1-01-00-XFAB-5400-02,L150XW170XH239 MM,GB
CGF CTRL BLDG AIR LOCK RM RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002767,Fire and gas detection,1-01-00-XFAB-5802-03,60-00-FF58-LCR-FACP,,MEDC,XB15UW0240506RWDTDPR,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_EVEQ,1-01-00-XFAB-5802-03,L150XW150XH239 MM,GB
CGF CTRL BLDG EL/IN W/S RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002768,Fire and gas detection,1-01-00-XFAB-5802-05,60-00-FF58-LCR-FACP,,MEDC,XB15UW0241506AWDTDPR,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_EVEQ,1-01-00-XFAB-5802-05,L150XW150XH239 MM,GB
CGF CDS AREA SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002769,Fire and gas detection,1-01-00-XFAS-5400-02,60-00-FF54-UTLTY-FGS,214287525-63-02,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011002094.0,PM_FDET,1-01-00-XFAS-5400-02,L185XW280XH200 MM,GB
CGF CTRL BLDG EL/IN W/S SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002771,Fire and gas detection,1-01-00-XFAS-5802-05,60-00-FF58-LCR-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_FDET,1-01-00-XFAS-5802-05,L122XW262X54H MM,GB
CGF GUARD HSG GUARD ROOM SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002772,Fire and gas detection,1-01-00-XFAS-5804-01,60-00-FF58-LCR-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_FDET,1-01-00-XFAS-5804-01,L122XW262XH154 MM,GB
N2 GENERATION DISCHARGE ON/OFF SOV,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002777,Nitorgen,1-01-00-XSOV-6901-03,1-01-00-XV-6901-03,,ASCO,WSNFET8327B102,HMDI/78000-12007/PBR,,C-INS-01,,100,NHSECES,C,N2G,VA,M,11011005574.0,PM_MIC,1-01-00-XSOV-6901-03,,
N2 RECEIVER ON/OFF VALVE,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002786,Nitorgen,1-01-00-XV-6901-02,60-00-UF69-01-VECM,,VIRGO,NLR-RF1-F-1PN-P-L-A-,4506150907,,C-MEC-01,,100,NHSECES,C,N2G,VA,M,11011001357.0,PM_MIC,1-01-00-XV-6901-02,2IN,IN
CGF MPFM AREA IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002794,Fire and gas detection,1-01-00-XGD-5400-02,60-00-FF54-PLNT2-FGS,A19-U401356920-11-02,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011000065.0,PM_GDET,1-01-00-XGD-5400-02,L325XM99XH145 MM,US
CGF LOS GAS DETECTOR RECEIVER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002804,Fire and gas detection,1-01-00-XGDR-5400-02,60-00-FF54-PLNT2-FGS,1938003,GENERAL MONITORS,IR5500-1-1-1-1-2-2-1,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011000065.0,PM_GDET,1-01-00-XGDR-5400-02,L315XD113 MM,
CGF SUB-STATION BAT RM SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002840,Fire and gas detection,1-01-00-XSD-5801-22,60-00-FF58-33KV-FACP,,APOLLO,55000-640-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008224.0,PM_FDET,1-01-00-XSD-5801-22,,
CGF CTRL BLDG EL/IN W/S SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002842,Fire and gas detection,1-01-00-XSD-5802-04,60-00-FF58-LCR-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011002097.0,PM_FDET,1-01-00-XSD-5802-04,D100XH42 MM,
CGF CTRL BLDG LAB RM SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002850,Fire and gas detection,1-01-00-XSD-5802-41,60-00-FF58-LCR-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011002097.0,PM_FDET,1-01-00-XSD-5802-41,D100XH42 MM,
PIG RECEIVER INLET LINE MOV,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002869,Oil Export,1-01-37-MOV-1301-01,1-01-37-RP-1301-VECM,19C701750,L&T VALVES,IQ19F14B4/TMBVSS-16I,HMDI/75000-47197/NG,,C-ELE-01,,100,NHSECES,C,PIG,VA,M,11011005935.0,PM_VLV,1-01-37-MOV-1301-01,16IN,IN
HIPPS LEAKAGE CASE PRESSURE SAFETY VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002878,Oil Export HIPPS-PSV,1-01-37-PSV-1301-02B,1-01-37-RP-1301,B404705-16-1A14,BLISS ANAND PVT LTD,26EA13L-121/N1/SP,HMDI/7800-12140/NDT,,C-MEC-01,,100,PC07,A,PIG,VA,M,,PM_VLV,1-01-37-PSV-1301-02B,"1""CL600X2""CL300",IN
PIG RECEIVER TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002901,Fire and gas detection,1-01-37-XFD-5403-50,A-AP-6037-FF54-FGS,1930672,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011005870.0,PM_FDET,1-01-37-XFD-5403-50,D138XH109XB89 MM,
F&G SYSTEM MULTIPHASE FM GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002933,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011005867.0,PM_FDET,1-01-37-5402-01-GD,,
F&G SYSTEM PIG RECEIVER GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011002934,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011001467.0,PM_FDET,1-01-37-5403-01-GD,,
HIPPS 6IN BV PSV-1301-02A TO FLARE HDR,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002940,Oil Export HIPPS-MVL,A-AP-0101-S004-HIPPS-MVL,A-AP-0101-S004-HIPPS,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,A,PIG,VA,M,11011008805.0,PM_VLV,1-01-37-HIPPS-1301-MIV-01,,IN
PIG RCVR 4IN BV RP-1301 NOZ-4 TO CD HDR,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002968,Oil Export,1-01-37-RP-1301,A-AP-6037-OF13-01,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002971.0,PM_VLV,1-01-37-RP-1301-MIV-05,,IN
PIG RECEIVER MANUAL VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011002971,Oil Export,1-01-37-RP-1301,A-AP-6037-OF13-01,,,,,,C-MEC-01,,100,NHSECES,C,PIG,OH,M,11011005935.0,PM_MMC,1-01-37-RP-1301-MV,,
ETR-5 MV CONTAINER FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003161,Fire and gas detection,1-01-42-XFAB-ETR05-01,60-84-FF58-ETR5-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011003966.0,PM_EVEQ,1-01-42-XFAB-ETR05-01,,GB
ETR-1 MV CONTAINER FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003163,Fire and gas detection,1-01-42-XFAB-ETR01-01,60-81-FF58-ETR1-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008090.0,PM_EVEQ,1-01-42-XFAB-ETR01-01,,GB
ETR-2 MV CONTAINER FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003164,Fire and gas detection,1-01-42-XFAB-ETR02-01,60-82-FF58-ETR2-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008093.0,PM_EVEQ,1-01-42-XFAB-ETR02-01,,GB
ETR-3 FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003165,Fire and gas detection,1-01-42-XFAB-ETR03-02,60-82-FF58-ETR3-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008096.0,PM_EVEQ,1-01-42-XFAB-ETR03-02,,GB
ETR-4 FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003166,Fire and gas detection,1-01-42-XFAB-ETR04-02,60-83-FF58-ETR4-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008099.0,PM_EVEQ,1-01-42-XFAB-ETR04-02,,GB
ETR-6 LV CONTAINER FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003167,Fire and gas detection,1-01-42-XFAB-ETR06-03,60-85-FF58-ETR6-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001984.0,PM_EVEQ,1-01-42-XFAB-ETR06-03,,GB
ETR-7 BATTERY ROOM FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003168,Fire and gas detection,1-01-42-XFAB-ETR07-04,60-86-FF58-ETR7-FACP,,MEDC,XB15B0241506RWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007939.0,PM_EVEQ,1-01-42-XFAB-ETR07-04,,GB
ETR-9 MV CONTAINER FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003169,Fire and gas detection,1-01-42-XFAB-ETR09-01,60-82-FF58-ETR9-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007945.0,PM_EVEQ,1-01-42-XFAB-ETR09-01,,GB
ETR-1 MV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003170,Fire and gas detection,1-01-42-XFAS-ETR01-01,60-81-FF58-ETR1-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008090.0,PM_FDET,1-01-42-XFAS-ETR01-01,,GB
ETR-2 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003171,Fire and gas detection,1-01-42-XFAS-ETR02-02,60-82-FF58-ETR2-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008093.0,PM_FDET,1-01-42-XFAS-ETR02-02,,GB
